site,severity,duration,start,end
9152500,10841.0,533,2017-12-06,2019-06-06
9152500,26014.0,1212,2019-10-09,2023-02-01
9430600,12.0,6,1984-02-09,1984-02-15
9430600,98.0,14,1984-03-02,1984-03-16
9430600,15.0,6,1984-05-20,1984-05-25
9430600,118.0,14,1984-06-03,1984-06-16
9430600,388.0,16,1984-06-30,1984-07-15
9430600,8.0,7,1984-09-08,1984-09-15
9430600,18.0,6,1984-09-19,1984-09-24
9430600,100.0,23,1989-02-15,1989-03-11
9430600,125.0,13,1989-03-31,1989-04-15
9430600,2208.0,127,1989-04-17,1989-09-02
9430600,210.0,17,1989-09-14,1989-10-04
9430600,1695.0,128,1989-11-01,1990-03-12
9430600,58.0,10,1990-04-14,1990-04-23
9430600,78.0,6,1990-05-09,1990-05-15
9430600,808.0,40,1990-06-01,1990-07-14
9430600,115.0,6,1990-07-25,1990-07-30
9430600,42.0,13,1991-10-25,1991-11-09
9430600,90.0,16,1992-11-10,1992-11-29
9430600,36.0,9,1994-01-22,1994-01-30
9430600,1018.0,51,1994-07-11,1994-08-31
9430600,390.0,29,1994-09-14,1994-10-18
9430600,188.0,10,1995-08-11,1995-08-20
9430600,275.0,20,1995-09-02,1995-09-27
9430600,2121.0,123,1995-09-30,1996-02-05
9430600,45.0,6,1996-02-19,1996-02-25
9430600,215.0,16,1996-02-28,1996-03-19
9430600,2015.0,103,1996-03-22,1996-07-11
9430600,788.0,32,1996-07-18,1996-08-19
9430600,90.0,14,1996-10-11,1996-10-25
