USGS_ID,Lat,Lon,region,D_5,D_10,D_20,D_50,D_100,S_5,S_10,S_20,S_50,S_100
9149500,38.741944,-108.080417,8-Rocky Mountains,224.0,523.0,992.0,1923.0,2895.0,1023.0,1689.0,2401.0,3387.0,4156.0
9165000,37.638884,-108.060352,8-Rocky Mountains,,,,,,,,,,
9143500,38.901649,-107.921176,8-Rocky Mountains,,,,,,,,,,
9361500,37.279169,-107.880345,8-Rocky Mountains,35.0,62.0,92.0,134.0,169.0,2277.0,3927.0,5735.0,8279.0,10283.0
9304500,40.033585,-107.862295,11-California and interior west,50.0,86.0,130.0,199.0,260.0,686.0,1101.0,1568.0,2251.0,2811.0
9143000,38.984703,-107.854508,8-Rocky Mountains,,,,,,,,,,
9304200,40.004974,-107.825349,11-California and interior west,51.0,91.0,141.0,223.0,296.0,831.0,1373.0,1995.0,2926.0,3705.0
9147500,38.331431,-107.779225,8-Rocky Mountains,65.0,104.0,144.0,201.0,245.0,2362.0,4026.0,5842.0,8386.0,10392.0
9147000,38.177768,-107.758393,8-Rocky Mountains,51.0,69.0,88.0,112.0,130.0,815.0,1143.0,1470.0,1901.0,2227.0
9146200,38.183879,-107.745892,8-Rocky Mountains,30.0,46.0,64.0,88.0,107.0,678.0,1059.0,1459.0,2007.0,2431.0
9359010,37.802774,-107.672839,8-Rocky Mountains,,,,,,,,,,
9359020,37.790275,-107.667561,8-Rocky Mountains,,,,,,,,,,
9358550,37.819719,-107.663672,8-Rocky Mountains,,,,,,,,,,
9358000,37.811108,-107.659228,8-Rocky Mountains,,,,,,,,,,
9128000,38.529153,-107.648947,8-Rocky Mountains,196.0,314.0,439.0,611.0,745.0,4747.0,7671.0,10785.0,15088.0,18442.0
9354500,37.009448,-107.5995,8-Rocky Mountains,280.0,678.0,1318.0,2611.0,3987.0,1020.0,1675.0,2372.0,3337.0,4088.0
9353800,37.166111,-107.5825,8-Rocky Mountains,,,,,,,,,,
9126000,38.258194,-107.546111,8-Rocky Mountains,65.0,103.0,147.0,213.0,267.0,1280.0,2014.0,2822.0,3991.0,4941.0
9352900,37.477501,-107.543669,8-Rocky Mountains,42.0,64.0,89.0,122.0,148.0,877.0,1437.0,2077.0,3028.0,3822.0
9132500,38.925823,-107.434221,8-Rocky Mountains,49.0,73.0,98.0,133.0,161.0,998.0,1564.0,2186.0,3080.0,3803.0
9349800,37.088338,-107.397826,8-Rocky Mountains,52.0,88.0,131.0,199.0,257.0,796.0,1312.0,1868.0,2640.0,3245.0
9255000,40.982466,-107.382839,8-Rocky Mountains,34.0,51.0,70.0,95.0,115.0,882.0,1336.0,1806.0,2443.0,2933.0
9085100,39.554982,-107.337554,8-Rocky Mountains,39.0,58.0,80.0,110.0,135.0,1145.0,1958.0,2922.0,4406.0,5679.0
9085000,39.543593,-107.329498,8-Rocky Mountains,62.0,97.0,135.0,187.0,227.0,1969.0,3367.0,5022.0,7572.0,9745.0
9246200,40.591639,-107.320893,8-Rocky Mountains,,,,,,,,,,
9124500,38.298883,-107.230056,8-Rocky Mountains,202.0,474.0,901.0,1747.0,2633.0,969.0,1531.0,2119.0,2923.0,3544.0
9081600,39.232639,-107.2275,8-Rocky Mountains,34.0,50.0,68.0,93.0,113.0,706.0,1181.0,1734.0,2570.0,3272.0
9253000,40.99941,-107.143388,8-Rocky Mountains,52.0,81.0,112.0,154.0,187.0,1597.0,2634.0,3818.0,5575.0,7039.0
9081000,39.373317,-107.083937,8-Rocky Mountains,,,,,,,,,,
9342500,37.265528,-107.011,8-Rocky Mountains,34.0,53.0,76.0,111.0,140.0,725.0,1130.0,1575.0,2214.0,2729.0
9242500,40.514697,-106.953941,8-Rocky Mountains,,,,,,,,,,
9070000,39.64943,-106.953655,8-Rocky Mountains,37.0,62.0,91.0,137.0,177.0,1121.0,1770.0,2489.0,3531.0,4382.0
9114500,38.541936,-106.949766,8-Rocky Mountains,33.0,51.0,70.0,96.0,117.0,1890.0,3359.0,5150.0,7978.0,10439.0
9119000,38.521111,-106.940958,8-Rocky Mountains,51.0,82.0,117.0,170.0,214.0,1199.0,2072.0,3112.0,4719.0,6091.0
9113980,38.58777,-106.931432,8-Rocky Mountains,,,,,,,,,,
9237450,40.264261,-106.891767,8-Rocky Mountains,,,,,,,,,,
9112200,38.78416,-106.870874,8-Rocky Mountains,,,,,,,,,,
9112500,38.664437,-106.848095,8-Rocky Mountains,145.0,323.0,592.0,1104.0,1620.0,657.0,1119.0,1661.0,2486.0,3188.0
9239500,40.482986,-106.832431,8-Rocky Mountains,46.0,70.0,94.0,127.0,153.0,834.0,1288.0,1761.0,2405.0,2902.0
9237500,40.286544,-106.829056,8-Rocky Mountains,,,,,,,,,,
9073400,39.179988,-106.801983,8-Rocky Mountains,42.0,60.0,79.0,105.0,125.0,940.0,1519.0,2173.0,3137.0,3935.0
9074000,39.20582,-106.797538,8-Rocky Mountains,,,,,,,,,,
9238900,40.474978,-106.786993,8-Rocky Mountains,,,,,,,,,,
9073300,39.1411,-106.774204,8-Rocky Mountains,47.0,77.0,110.0,156.0,193.0,2163.0,3485.0,4888.0,6822.0,8323.0
